,f1,f2,dist
0,attack_mounted_socket_4_workload_parsed.txt,attack_process_injection_1_workload_parsed.txt,6642314.0
1,attack_mounted_socket_4_workload_parsed.txt,attack_process_injection_3_workload_parsed.txt,6680208.0
2,attack_mounted_socket_4_workload_parsed.txt,attack_process_injection_5_workload_parsed.txt,6727281.0
3,attack_mounted_socket_4_workload_parsed.txt,attack_process_injection_2_workload_parsed.txt,6651525.0
4,attack_mounted_socket_4_workload_parsed.txt,attack_process_injection_4_workload_parsed.txt,6732407.0
5,attack_mounted_socket_2_workload_parsed.txt,attack_process_injection_1_workload_parsed.txt,7154592.0
6,attack_mounted_socket_2_workload_parsed.txt,attack_process_injection_3_workload_parsed.txt,6988161.0
7,attack_mounted_socket_2_workload_parsed.txt,attack_process_injection_5_workload_parsed.txt,6981563.0
8,attack_mounted_socket_2_workload_parsed.txt,attack_process_injection_2_workload_parsed.txt,6835494.0
9,attack_mounted_socket_2_workload_parsed.txt,attack_process_injection_4_workload_parsed.txt,6945980.0
10,attack_mounted_socket_1_workload_parsed.txt,attack_process_injection_1_workload_parsed.txt,6665627.0
11,attack_mounted_socket_1_workload_parsed.txt,attack_process_injection_3_workload_parsed.txt,6832761.0
12,attack_mounted_socket_1_workload_parsed.txt,attack_process_injection_5_workload_parsed.txt,6753582.0
13,attack_mounted_socket_1_workload_parsed.txt,attack_process_injection_2_workload_parsed.txt,6663410.0
14,attack_mounted_socket_1_workload_parsed.txt,attack_process_injection_4_workload_parsed.txt,6725025.0
15,attack_mounted_socket_3_workload_parsed.txt,attack_process_injection_1_workload_parsed.txt,6578826.0
16,attack_mounted_socket_3_workload_parsed.txt,attack_process_injection_3_workload_parsed.txt,6661123.0
17,attack_mounted_socket_3_workload_parsed.txt,attack_process_injection_5_workload_parsed.txt,6693347.0
18,attack_mounted_socket_3_workload_parsed.txt,attack_process_injection_2_workload_parsed.txt,6598723.0
19,attack_mounted_socket_3_workload_parsed.txt,attack_process_injection_4_workload_parsed.txt,6635915.0
20,attack_mounted_socket_5_workload_parsed.txt,attack_process_injection_1_workload_parsed.txt,6580634.0
21,attack_mounted_socket_5_workload_parsed.txt,attack_process_injection_3_workload_parsed.txt,6606086.0
22,attack_mounted_socket_5_workload_parsed.txt,attack_process_injection_5_workload_parsed.txt,6661922.0
23,attack_mounted_socket_5_workload_parsed.txt,attack_process_injection_2_workload_parsed.txt,6571881.0
24,attack_mounted_socket_5_workload_parsed.txt,attack_process_injection_4_workload_parsed.txt,6485053.0
